iter	CrossEntropy
0	0.5594387818
1	0.4403097487
2	0.3510821953
3	0.2916826348
4	0.2431203781
5	0.2034878718
6	0.174860606
7	0.139654865
8	0.1156024643
9	0.1045692876
10	0.0849293081
11	0.07871745524
12	0.06762101731
13	0.06097476336
14	0.05159351295
15	0.04425293876
16	0.04045319143
17	0.0383428155
18	0.03519654814
19	0.0317729327
20	0.02980800067
21	0.0264795259
22	0.02418752481
23	0.0223941129
24	0.02082593294
25	0.0194909735
26	0.01841637987
27	0.01781000165
28	0.01719342138
29	0.01668351182
30	0.01554480377
31	0.01494257845
32	0.01455912856
33	0.01414508227
34	0.01332654708
35	0.01254051607
36	0.01205374918
37	0.01139704813
38	0.01092466397
39	0.01044099953
40	0.009991209983
41	0.00972818827
42	0.009151449067
43	0.008963649979
44	0.008785348464
45	0.008555122921
46	0.00830687317
47	0.007985626517
48	0.007570517764
49	0.007403458754
50	0.007216148951
51	0.007078576343
52	0.006975485107
53	0.006737679711
54	0.006647802399
55	0.006555514813
56	0.00646349197
57	0.006261582307
58	0.006181367849
59	0.006105064155
60	0.005922703843
61	0.005854356834
62	0.005741349358
63	0.005671958905
64	0.00560743539
65	0.005552543186
66	0.005496841963
67	0.005433947499
68	0.005374813559
69	0.005320169825
70	0.005257157228
71	0.005215083522
72	0.005164306956
73	0.0051161352
74	0.005072954685
75	0.00503036947
76	0.004987282577
77	0.00494443542
78	0.004903698207
79	0.004865547923
80	0.004827771605
81	0.004800337737
82	0.004762599891
83	0.004725275626
84	0.004691838296
85	0.00465776938
86	0.004622714671
87	0.004590131733
88	0.004558562736
89	0.004527981503
90	0.004497281652
91	0.004466715188
92	0.004435474226
93	0.004405539355
94	0.004376850589
95	0.004346833752
96	0.004316113564
97	0.004288731481
98	0.004261058183
99	0.004234625003
100	0.004208507253
101	0.004191238383
102	0.004164430381
103	0.004138856877
104	0.004114514185
105	0.004089175958
106	0.004065531733
107	0.004040594564
108	0.00401604259
109	0.003992326589
110	0.003970354373
111	0.0039468785
112	0.003923562174
113	0.003902773383
114	0.003879819413
115	0.003859614892
116	0.003837997026
117	0.003816396593
118	0.003796377408
119	0.003775346516
120	0.003755686
121	0.003737010619
122	0.003716652079
123	0.003698508144
124	0.003678763433
125	0.003659272399
126	0.003641341256
127	0.003622162128
128	0.003604551178
129	0.003585835613
130	0.003567472595
131	0.003549361793
132	0.003527520613
133	0.003505839055
134	0.003484463728
135	0.003467271889
136	0.003446418822
137	0.003429408035
138	0.003412974006
139	0.003393457059
140	0.003375098371
141	0.003359099532
142	0.003344290984
143	0.003329640258
144	0.003311931681
145	0.003293439492
146	0.003278306246
147	0.003259631138
148	0.003242714576
149	0.003225022828
150	0.003210571069
151	0.003194205221
152	0.003176741075
153	0.003161336236
154	0.003146541516
155	0.003130894101
156	0.003117355416
157	0.003103768912
158	0.003089154729
159	0.003072874364
160	0.003056616255
161	0.003044609468
162	0.003030041108
163	0.003015632864
164	0.00300041944
165	0.002987925502
166	0.00297569996
167	0.002964389499
168	0.002951865211
169	0.002937356318
170	0.002925594581
171	0.002913788873
172	0.002901035617
173	0.002887258234
174	0.002874756992
175	0.00286354045
176	0.002851929415
177	0.002839772345
178	0.002827735868
179	0.002815818064
180	0.002805794146
181	0.002794450018
182	0.002783464928
183	0.002772328216
184	0.00276093428
185	0.002749649056
186	0.002739344794
187	0.002729246665
188	0.002718247177
189	0.002708964259
190	0.002699120074
191	0.002687665037
192	0.002675616043
193	0.00266357658
194	0.002651921323
195	0.002641563823
196	0.002632228541
197	0.002622357653
198	0.002611191932
199	0.002601490362
200	0.002592083305
201	0.002583118406
202	0.002572044338
203	0.002561331965
204	0.002551723684
205	0.002541187427
206	0.002533145946
207	0.002524054389
208	0.002516131041
209	0.002507173482
210	0.002498483102
211	0.002487975462
212	0.002479759267
213	0.002469605231
214	0.002461185582
215	0.0024536774
216	0.002445376145
217	0.00243668266
218	0.002428060456
219	0.002420766217
220	0.002412267873
221	0.002404321559
222	0.002396212095
223	0.002388570714
224	0.002380943113
225	0.002373467357
226	0.002366488378
227	0.002359586529
228	0.002352258243
229	0.002345471671
230	0.002338704519
231	0.002332063967
232	0.002324826082
233	0.002317510023
234	0.002310916773
235	0.002303839745
236	0.002296885742
237	0.002289763923
238	0.002282829721
239	0.002275926499
240	0.00226958836
241	0.002263159195
242	0.002256770448
243	0.002250421705
244	0.002244235749
245	0.002237597784
246	0.00223100347
247	0.00222451985
248	0.002218355507
249	0.002212360354
250	0.00220599511
251	0.002199584093
252	0.002193108567
253	0.002186862602
254	0.002181026951
255	0.002174673339
256	0.002168539682
257	0.002162830954
258	0.002156731582
259	0.002151089927
260	0.002144927793
261	0.00213933271
262	0.002133247158
263	0.002127617133
264	0.002121736921
265	0.002116274282
266	0.002110335758
267	0.002104436551
268	0.002097811428
269	0.002092388085
270	0.002085622264
271	0.002079993077
272	0.002073312142
273	0.002068112937
274	0.002062467851
275	0.002057229295
276	0.002050916197
277	0.002044803072
278	0.002038575498
279	0.002033461561
280	0.002028129133
281	0.002022828738
282	0.002017806126
283	0.00201252943
284	0.002007211839
285	0.002001927255
286	0.001996675342
287	0.001991880946
288	0.001986688483
289	0.001981054456
290	0.00197522737
291	0.001969582766
292	0.001964829951
293	0.001960107342
294	0.001955188345
295	0.001949871276
296	0.001944235106
297	0.00193940246
298	0.001934051558
299	0.00192831783
300	0.001922817086
301	0.001917351439
302	0.001912566362
303	0.001907163728
304	0.001901795209
305	0.001896746457
306	0.001891440397
307	0.001886794238
308	0.001881859609
309	0.001876640753
310	0.00187145422
311	0.001866960985
312	0.001862116127
313	0.00185732247
314	0.001852447215
315	0.001847601266
316	0.001843184369
317	0.001838836446
318	0.001834546204
319	0.00182979776
320	0.001825552594
321	0.001821296139
322	0.001816725687
323	0.001812162697
324	0.001808008812
325	0.001803801051
326	0.001799312206
327	0.001795191741
328	0.001790752425
329	0.00178587093
330	0.001781816673
331	0.001776986054
332	0.001772643473
333	0.001768343363
334	0.001764051605
335	0.001759488099
336	0.001754782503
337	0.001750271763
338	0.001745786845
339	0.001741608774
340	0.001737449563
341	0.001733032374
342	0.001729258193
343	0.00172516871
344	0.001721367999
345	0.001717334033
346	0.001713310327
347	0.00170932153
348	0.001705355031
349	0.001701398216
350	0.001697164699
351	0.001692954621
352	0.001689306368
353	0.001685138141
354	0.001681290195
355	0.001677463297
356	0.001673646932
357	0.001669843314
358	0.001666361526
359	0.001662595637
360	0.001658662249
